No.;Quantity;Comment;Designator;Footprint;Value;Manufacturer Part;Manufacturer;Supplier Part;Supplier
1;1;470uF;C1;CAP-TH_BD10.0-P5.00-D1.0-FD;;KM477M025G13RR0VH2FP0;Chengx(承兴);C44594;LCSC
2;1;10uF 50V 1206;C2;C1206;;GRM31CR61H106MA12L;muRata(村田);C882507;LCSC
3;4;100nF;C6,C7,C10,C22;C0805;;CC0805KRX7R9BB104;YAGEO;C49678;LCSC
4;1;100uF;C11;C1206;100uF;GRM31CR60J107ME39K;muRata(村田);C2167747;LCSC
5;1;470uF;C13;CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-RD;470uF;RVT1C471M0607;ROQANG(容强);C2977552;LCSC
6;1;10uF;C20;C0603;10uF;CL10A106MA8NRNC;SAMSUNG(三星);C96446;LCSC
7;2;22uF;C23,C24;C0603;22uF;CL10A226MQ8NRNC;SAMSUNG(三星);C59461;LCSC
8;1;SS14;D1;SMA_L4.3-W2.7-LS5.0-RD;;SS14;DOWO(东沃);C6069588;LCSC
9;1;FUSE5X20;F1;FUSE-TH_L24.4-W9.4-P22.60;;FUSE5X20;;C9900003668;LCSC
10;1;HX PH254-01-03-Z-L11.5 pcb pin header;H1;HDR-TH_3P-P2.54-V-M-1;;HX PH254-01-03-Z-L11.5 pcb pin header;hanxia(韩下);C52016391;LCSC
11;1;PZ127V-11-04-0720;H2;HDR-TH_4P-P1.27-V-M;;PZ127V-11-04-0720;XFCN(兴飞);C541879;LCSC
12;1;470uH;L1;IND-SMD_L13.5-W9.5;470uH;ASPI-0804T-471M-T;ABRACON;C187399;LCSC
13;1;3.9uH;L2;IND-SMD_L4.0-W4.0;3.9uH;ANR4030T3R9M;APV(爱普微);C6808101;LCSC
14;1;AO3401;Q1;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;;AO3401;YONGYUTAI(永裕泰);C6575062;LCSC
15;1;S8050;Q3;SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR;;S8050;R+O(宏嘉诚);C20069125;LCSC
16;2;RES 4.7kΩ;R1,R2;R0603;;RES 4.7kΩ;PANASONIC(松下);C336551;LCSC
17;1;1kΩ;R3;R0603;;RC0603FR-071KL;YAGEO(国巨);C22548;LCSC
18;3;10kΩ;R4,R5,U24;R0603;;HoAR0603-1/10W-10KR-0.1%-TCR25;Milliohm(毫欧);C5123581;LCSC
19;1;10kΩ;R6;R0603;;0603WAF1002T5E;UNI-ROYAL(厚声);C25804;LCSC
20;1;470Ω;R17;R0603;470Ω;0603WAF4700T5E;UNI-ROYAL(厚声);C23179;LCSC
21;2;470Ω;RN1,RN2;RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL;470Ω;4D03WGJ0471T5E;UNI-ROYAL(厚声);C25510;LCSC
22;1;10kΩ;RN3;RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL;10kΩ;4D03WGJ0103T5E;UNI-ROYAL(厚声);C29718;LCSC
23;1;TSR 1-2450_C6886877;U2;PWRM-TH_L11.7-W7.5_TSR1-2450;;TSR 1-2450;TRACO POWER;C6886877;LCSC
24;1;Screw Terminal 5.08 2P;U3;CONN-TH_P5.08_KF127-5.08-2P;;KF127-5.08-2P;KEFA(科发);C474906;LCSC
25;1;TMPS10-112;U4;TMPS10-112;;;;;Traco Power
26;10;PESD5V0S2BT_C5451656;U5,U6,U7,U18,U19,U20,U21,U22,U23,U32;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;;PESD5V0S2BT;HXY MOSFET(华轩阳电子);C5451656;LCSC
27;2;B254N02-0B7P51-H85C32;U11,U12;HDR-TH_7P-P2.54-V-F;;B254N02-0B7P51-H85C32;JXTCONN(聚兴泰);C41426870;LCSC
28;1;FPC 0.5-14P LTH2.0;U17;FPC-SMD_14P-P0.50_FPC-0.5-14PLTH2.0;;FPC 0.5-14P LTH2.0;SHOU HAN(首韩);C6081225;LCSC
29;1;PCA9685PW,118;U26;TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL;-;PCA9685PW,118;NXP(恩智浦);C2678753;LCSC
30;1;10kΩ;U27;R0402;10kΩ;FRC0402F1002TS;FOJAN(富捷);C2906861;LCSC
31;2;KF128-2.54-2P;U28,U29;CONN-TH_P2.54_KF128-2.54-2P;;KF128-2.54-2P;KEFA(科发);C474920;LCSC
32;2;KF128-2.54-4P;U30,U31;CONN-TH_4P-P2.54_KF128-2.54-4P;;KF128-2.54-4P;KEFA(科发);C474922;LCSC
33;1;AP63203WU-7;U37;TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL;;AP63203WU-7;DIODES(美台);C780769;LCSC
34;1;220pF@1kHz;V1;RES-TH_L12.5-W5.1-P7.50-D0.9-S5.10;;B72210S0271K101;TDK;C125511;LCSC
;;;;;;;;;
