Number,Net,Center X,Center Y,Layer
TP4,5V,101.473 mm,57.277 mm,Multi-Layer
TP5,GND,104.013 mm,57.277 mm,Multi-Layer
TP7,BTN_LVL,109.093 mm,57.277 mm,Multi-Layer
TP13,PCA9685_OE,109.101 mm,33.655 mm,Multi-Layer
TP1,LED_WRG,131.572 mm,24.511 mm,Multi-Layer
TP2,LED_L1,129.794 mm,24.511 mm,Multi-Layer
TP3,LED_L3,128.016 mm,24.511 mm,Multi-Layer
TP4,LED_L5,126.111 mm,24.511 mm,Multi-Layer
TP8,GND,131.572 mm,30.988 mm,Multi-Layer
TP9,LED_VEN,129.794 mm,30.988 mm,Multi-Layer
TP10,LED_L2,128.016 mm,30.988 mm,Multi-Layer
TP11,LED_L4,126.111 mm,30.988 mm,Multi-Layer
TP12,LED_PWR,124.206 mm,30.988 mm,Multi-Layer
TP13,BTN_MOD,122.428 mm,30.988 mm,Multi-Layer
TP14,BTN_PWR,120.777 mm,30.988 mm,Multi-Layer
TP6,LED_MST,124.206 mm,24.511 mm,Multi-Layer
TP1,BTN_MOD,111.633 mm,57.277 mm,Multi-Layer
TP7,BTN_LVL,122.428 mm,24.511 mm,Multi-Layer
TP9,GND,120.777 mm,25.4 mm,Top Layer
TP16,PWM_12V_OUT,71.501 mm,56.388 mm,Multi-Layer
TP18,DC_VAR_12V,79.756 mm,56.388 mm,Multi-Layer
TP26,FAN_TACHO,116.713 mm,57.277 mm,Multi-Layer
TP6,BTN_PWR,114.173 mm,57.245 mm,Multi-Layer
TP20,SCL,114.173 mm,33.655 mm,Multi-Layer
TP1,NTC_IN_SIG,101.346 mm,33.655 mm,Multi-Layer
TP3,NTC_OUT_SIG,104.003 mm,33.655 mm,Multi-Layer
TP10,GND,71.12 mm,31.369 mm,Multi-Layer
TP7,5V,75.946 mm,31.369 mm,Multi-Layer
TP9,12V,59.69 mm,20.801 mm,Top Layer
TP1,3V,87.757 mm,31.369 mm,Multi-Layer
